Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bosnia and Herzegovina,BIH,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.86453933,19.91561452,15.57168812,17.10633913,18.78971238,18.37624642,17.18517838,15.71550377,14.55372247,18.75179633,17.66545672,16.99543133,12.99455186,12.07215984,12.32455511,12.26060203,11.97072557,13.78682811,14.22842182,13.23882196,13.34899745,14.94151267,6.239637534,,,,
Belarus,BLR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531400049,0.910706021,0.510366826,0.760841998,1.437567386,2.667499078,3.47239953,3.428558146,3.115379314,2.417055599,1.973050187,1.859123847,1.782464862,1.614069165,2.312931877,2.266599862,1.603689129,1.898402723,2.620631808,2.835695645,3.083329021,3.398513192,3.072790569,2.888723804,3.073265213,1.45764754,,,,
Belize,BLZ,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.72991638,29.28390291,30.92373167,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00333748,32.00282162,32.13419545,30.11316078,29.3746488,33.49844943,36.76864703,36.76937789,37.44420842,9.149792337,,,,
Bolivia,BOL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.456638029,7.616552291,9.124087591,10.10920897,9.461315428,6.870635677,7.825352494,9.194296003,12.39034143,11.04599229,10.52023955,7.587331764,6.579564181,4.300112055,5.635400629,4.958318732,5.469767816,5.147660788,5.010721141,5.327982447,8.159225306,9.994335887,9.67796798,9.116255895,9.512121591,3.267144795,,,,
Brazil,BRA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061131058,1.416980916,1.738538756,2.400493456,3.152582716,3.096695805,2.766208764,3.104778463,3.241512531,3.148271143,3.129681233,2.94455719,2.897497777,2.700713619,3.152966668,2.387809963,2.182708122,2.363853465,2.430306969,2.810574837,2.797100195,3.04296962,2.45763404,2.311718712,2.367227038,1.300983311,,,,
Barbados,BRB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.26062438,53.26230255,56.69085262,59.36990174,58.10803471,56.68353677,55.88859775,53.13358698,57.64563872,57.49722521,51.34324138,52.18935002,55.17788615,53.4153807,56.7395525,50.6646941,46.17365059,45.41285565,42.16370353,38.82327542,41.30148849,44.43759267,,,,,,,,
Brunei Darussalam,BRN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.756909706,2.732386152,2.5512787,3.224615105,2.785445685,2.675753382,2.739584663,2.092529591,3.140923818,,,0.688381673,0.778711026,0.67705287,2.17032048,2.695598729,2.937396469,2.698503885,,,,,,
Bhutan,BTN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.897231477,7.381331243,7.19052711,8.880857833,10.83854679,10.19350046,12.75659898,17.37061572,15.01945378,16.97441954,21.63964627,21.35836519,15.40180639,15.43350566,10.67777517,,,,
Botswana,BWA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.271036665,4.410816413,4.653433333,7.730452627,7.995001632,7.566961797,8.79786793,11.42137159,12.51572662,13.10826158,10.68328794,10.19430888,9.121269979,9.382979919,15.88319537,8.252164748,6.459080328,7.964326773,5.52742257,5.583004605,7.437663955,6.140621005,7.849724497,7.755895869,11.43735755,4.61370472,,,,
